,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
0,BBC,Tue Mar 27 12:00:08 +0000 2018,The ancient Greeks thought a life of ‘constant leisure’ was the highest life you could live. https://t.co/sascCq8iks,0.0,0.0,1.0,0.0,1
1,BBC,Tue Mar 27 11:05:06 +0000 2018,"There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
? https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI",0.0,0.0,1.0,0.0,2
2,BBC,Tue Mar 27 11:00:06 +0000 2018,"? @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
?… https://t.co/pTLXfve0ds",0.25,0.125,0.875,0.0,3
3,BBC,Tue Mar 27 09:52:08 +0000 2018,"?? 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

? SPOILER: it's not.  https://t.co/f5oNRItwyq",0.0,0.0,1.0,0.0,4
4,BBC,Tue Mar 27 09:40:22 +0000 2018,"RT @BBCTwo: Now we've got our country back... what actually is it? ?

#CunkOnBritain starts Tuesday 3 April, 10pm, @BBCTwo. @missdianemorga…",0.0,0.0,1.0,0.0,5
5,BBC,Tue Mar 27 09:39:23 +0000 2018,RT @BBCBreakfast: A team of abseilers have been roped in to give Cheddar Gorge in Somerset an extreme spring clean. https://t.co/iYmkiizeRi,0.4019,0.124,0.876,0.0,6
6,BBC,Tue Mar 27 09:38:59 +0000 2018,"RT @BBCR1: We can't get enough of @george_ezra's Live Lounge ?

Watch him perform 'Paradise' and cover 'These Days' right here ?https://t.c…",0.0,0.0,1.0,0.0,7
7,BBC,Tue Mar 27 09:36:48 +0000 2018,"RT @bbcgetinspired: Check out @JesseLingard and some of his @PremierLeague mates showing us their super moves. ?? 

Show us yours with #sup…",0.5994,0.157,0.843,0.0,8
8,BBC,Tue Mar 27 08:00:04 +0000 2018,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/cpKW9tl61v",0.0,0.0,1.0,0.0,9
9,BBC,Tue Mar 27 07:30:04 +0000 2018,"About 700,000 people in the UK are on the autism spectrum, with five times as many males as females being diagnosed… https://t.co/PXJMuG76Tn",0.0,0.0,1.0,0.0,10
10,BBC,Tue Mar 27 07:00:08 +0000 2018,"The number of children living in relative poverty in the UK has risen to 4.1m. 

This is the story of Tyler, one of… https://t.co/xFtEAjBTXC",-0.4588,0.049,0.827,0.124,11
11,BBC,Mon Mar 26 19:03:02 +0000 2018,"Filmed in Nottingham during the worst winter for the NHS on record, groundbreaking series #Hospital returns tonight… https://t.co/PVSIcvCGc9",-0.6249,0.0,0.806,0.194,12
12,BBC,Mon Mar 26 18:24:04 +0000 2018,"Tonight, George Alagiah explores the fascinating history of Queen Elizabeth II and her beloved Commonwealth. 

The… https://t.co/xXer4FRyTq",0.7783,0.312,0.688,0.0,13
13,BBC,Mon Mar 26 17:30:04 +0000 2018,?? It was a Dachsh(und) to the finish line. https://t.co/7VvkU5GfUg,0.0,0.0,1.0,0.0,14
14,BBC,Mon Mar 26 16:25:02 +0000 2018,"?? Joy and Mary flew WW2 planes before any navigation system was installed.
#RAFat100 https://t.co/yxNMblfTEf",0.5859,0.213,0.787,0.0,15
15,BBC,Mon Mar 26 15:45:04 +0000 2018,"Tom Cruise stars in a remake of the 1953 adaptation of HG Wells’s classic novel. ?

War of the Worlds | @BBCiPlayer… https://t.co/h19JvTlFSA",-0.3818,0.095,0.744,0.161,16
